"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
593;Adel Taarabt\Adel-Taarabt;ma MAR;MF;pt Benfica;30;1989;4.0;0;0;0;8;1;0;12.5;2.00;0.25;0.00;0.00;0.3;0.3;0.04;-0.3;-0.3;Matches
594;Dušan Tadić\Dusan-Tadic;rs SRB;FW;nl Ajax;30;1988;6.0;0;0;0;6;1;0;16.7;1.00;0.17;0.00;0.00;0.7;0.7;0.12;-0.7;-0.7;Matches
595;Nicolás Tagliafico\Nicolas-Tagliafico;ar ARG;DF;nl Ajax;26;1992;6.0;1;0;0;3;2;0;66.7;0.50;0.33;0.33;0.50;0.2;0.2;0.06;+0.8;+0.8;Matches
596;Jonathan Tah\Jonathan-Tah;de GER;DF;de Leverkusen;23;1996;5.0;0;0;0;1;0;0;0.0;0.20;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
597;Taison\Taison;br BRA;MFFW;ua Shakhtar;31;1988;5.0;0;0;0;9;2;0;22.2;1.80;0.40;0.00;0.00;0.3;0.3;0.03;-0.3;-0.3;Matches
598;Laco Takács\Laco-Takacs;cz CZE;DF;cz Slavia Prague;23;1996;1.0;0;0;0;1;0;0;0.0;1.01;0.00;0.00;;0.2;0.2;0.16;-0.2;-0.2;Matches
599;Adrien Tameze\Adrien-Tameze;cm CMR;MF;it Atalanta;25;1994;0.0;0;0;0;0;0;0;;;;;;0.0;0.0;;0.0;0.0;Matches
600;Percy Tau\Percy-Tau;za RSA;FW;be Club Brugge;25;1994;2.7;0;0;0;2;2;0;100.0;0.75;0.75;0.00;0.00;0.7;0.7;0.33;-0.7;-0.7;Matches
601;David Tavares\David-Tavares;pt POR;MF;pt Benfica;20;1999;0.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
602;Tomás Tavares\Tomas-Tavares;pt POR;DF;pt Benfica;18;2001;5.0;0;0;0;1;0;0;0.0;0.20;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
603;Stanislav Tecl\Stanislav-Tecl;cz CZE;FW;cz Slavia Prague;28;1990;1.5;0;0;0;2;0;0;0.0;1.31;0.00;0.00;;0.3;0.3;0.14;-0.3;-0.3;Matches
604;Marc-André ter Stegen\Marc-Andre-ter-Stegen;de GER;GK;es Barcelona;27;1992;6.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
605;Martin Terrier\Martin-Terrier;fr FRA;FWMF;fr Lyon;22;1997;2.7;1;0;0;2;1;0;50.0;0.75;0.37;0.50;1.00;0.4;0.4;0.22;+0.6;+0.6;Matches
606;Tetê\Tete;br BRA;MF;ua Shakhtar;19;2000;1.7;1;1;1;4;0;0;0.0;2.32;0.00;0.00;;1.0;0.2;0.05;0.0;-0.2;Matches
607;Kenny Tete\Kenny-Tete;nl NED;DF;fr Lyon;23;1995;1.1;0;0;0;1;0;0;0.0;0.88;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
608;Kévin Théophile-Catherine\Kevin-Theophile-Catherine;fr FRA;DF;hr Dinamo Zagreb;29;1989;4.8;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
609;Jean-Clair Todibo\Jean-Clair-Todibo;fr FRA;DF;es Barcelona;19;1999;1.0;0;0;0;1;0;0;0.0;1.00;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
610;Karl Toko Ekambi\Karl-Toko-Ekambi;cm CMR;FW;fr Lyon;26;1992;0.7;0;0;0;4;0;0;0.0;5.45;0.00;0.00;;0.2;0.2;0.05;-0.2;-0.2;Matches
